src_ip,dst_ip,src_port,dst_port,src_mac,dst_mac,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.0.102,116.119.105.224,53723,3478,f0:a6:54:29:63:45,c4:71:54:49:11:3d,17,2025-07-14 02:16:00,2948534.9655151367,165661.25405084412,166.86252859614402,135.32144087370216,31.541087722441855,399,93,414784,73674,1158.0,62.0,1039.5588972431078,178.12997117656923,1118.0,62.0,792.1935483870968,291.9585055973447,1158,62,992.80081300813,226.32917461938456,51224.89528389187,3192,744,8,399,6005.162862556286,57756.900787353516,0.0,12700.775456204348,2948534.9655151367,70690.87028503418,61.98883056640625,7408.379310339539,16969.51414672349,2866770.9827423096,83435.05859375,0.0,31160.554160242496,30927.436484203045,0,0,0,0,1,0,0,0,0,0,0,0.23308270676691728,992.80081300813,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8291.166666666666,8.291666666666666,0.0,0.0,483907.9736598209,0.0,1039.5588972431078,792.1935483870968,0,399,93,414784,73674
192.168.0.102,172.67.72.185,58559,443,f0:a6:54:29:63:45,c4:71:54:49:11:3d,6,2025-07-14 02:16:01,7074.832916259766,17102.877401091864,282.6921884477994,141.3460942238997,141.3460942238997,1,1,55,66,55.0,55.0,55.0,0.0,66.0,66.0,66.0,0.0,66,55,60.5,5.5,30.25,20,20,20,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,60.5,511,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,66.0,0,1,1,55,66
192.168.0.102,104.18.19.125,51084,443,f0:a6:54:29:63:45,c4:71:54:49:11:3d,6,2025-07-14 02:16:03,269240.140914917,3079.035678643377,22.28493856677957,11.142469283389785,11.142469283389785,3,3,586,243,447.0,54.0,195.33333333333334,178.40465863374257,135.0,54.0,81.0,38.18376618407357,447,54,138.16666666666666,141.10683501832537,19911.138888888894,60,60,20,2,53848.0281829834,219987.154006958,0.0,84397.87198370148,269240.140914917,268898.01025390625,342.1306610107422,134620.0704574585,134277.93979644775,219987.154006958,219987.154006958,0.0,109993.577003479,109993.577003479,0,0,0,0,1,0,0,0,0,0,0,1.0,138.16666666666666,252,405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.33333333333334,81.0,0,3,3,586,243
