src_ip,dst_ip,src_port,dst_port,src_mac,dst_mac,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
142.250.82.215,192.168.0.102,3478,49697,c4:71:54:49:11:3d,f0:a6:54:29:63:45,17,2025-07-15 00:14:41,4927296.876907349,10536.00002129041,67.58269459278243,43.837423519642655,23.745271073139772,216,117,36342,15572,245.0,91.0,168.25,35.54030706009623,273.0,86.0,133.0940170940171,57.855402263249744,273,86,155.8978978978979,47.71847271470253,2277.05263822381,1728,936,8,216,14841.255653335387,283726.93061828613,0.0,21583.55940169463,4909772.872924805,329020.02334594727,0.0,22836.15289732467,31285.433236450557,4883089.065551758,358688.1160736084,207.9010009765625,42095.595392687566,43712.22062316634,0,0,0,0,0,0,0,0,0,0,0,0.5416666666666666,155.8978978978979,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,609.6875,4.25,0.0,0.0,11869.50314843814,0.0,168.25,133.0940170940171,0,216,117,36342,15572
192.168.0.102,34.194.159.210,57562,443,f0:a6:54:29:63:45,c4:71:54:49:11:3d,6,2025-07-15 00:14:42,3793184.0419769287,105.97956638837012,0.790892286480374,0.790892286480374,0.0,3,0,402,0,134.0,134.0,134.0,0.0,0.0,0.0,0.0,0.0,134,134,134.0,0.0,0.0,60,0,20,3,1896592.0209884644,2522802.1144866943,1270381.9274902344,626210.09349823,3793184.0419769287,2522802.1144866943,1270381.9274902344,1896592.0209884644,626210.09349823,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,134.0,252,0,0.0,0.0,0.0,0.0,1270381.9274902344,1252420.18699646,1261401.0572433472,8980.870246887207,0.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0,0,3,0,402,0
192.168.0.102,172.67.5.200,58072,443,f0:a6:54:29:63:45,c4:71:54:49:11:3d,6,2025-07-15 00:14:42,1251106.0237884521,525.93464301892,6.394342164363769,3.1971710821818844,3.1971710821818844,4,4,325,333,124.0,54.0,81.25,29.371542349696245,132.0,54.0,83.25,32.33709170596515,132,54,82.25,30.90610781059304,955.1875,80,80,20,2,178729.43196977887,1124243.0210113525,0.0,386651.6473174382,1251106.0237884521,1178951.0250091553,168.08509826660156,417035.3412628174,539552.9741608555,1177550.0774383545,1177550.0774383545,0.0,392516.6924794515,555102.4299622697,0,0,0,0,1,0,0,0,0,0,0,1.0,82.25,253,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.25,83.25,0,4,4,325,333
192.168.0.102,103.21.187.19,58662,53,f0:a6:54:29:63:45,c4:71:54:49:11:3d,6,2025-07-15 00:14:42,20587.20588684082,47310.93696510672,534.312429790733,291.44314352221795,242.86928626851497,6,5,386,588,102.0,54.0,64.33333333333333,17.3749500398962,360.0,54.0,117.6,121.28907617753548,360,54,88.54545454545455,86.91936036701819,7554.975206611571,120,100,20,2,2058.720588684082,12408.018112182617,0.0,3739.128596594582,20587.20588684082,12823.820114135742,94.17533874511719,4117.441177368164,4696.365170627687,15760.183334350586,13063.192367553711,0.0,3940.0458335876465,5367.295834717304,0,0,0,0,1,0,0,0,0,0,0,0.8333333333333334,88.54545454545455,65535,506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.33333333333333,117.6,0,6,5,386,588
192.168.0.102,103.21.187.19,58663,53,f0:a6:54:29:63:45,c4:71:54:49:11:3d,6,2025-07-15 00:14:42,22912.979125976562,33954.55456588695,480.0772496462166,261.8603179888454,218.2169316573712,6,5,386,392,102.0,54.0,64.33333333333333,17.3749500398962,164.0,54.0,78.4,43.051596950635876,164,54,70.72727272727273,32.49920533039905,1056.198347107438,120,100,20,2,2291.2979125976562,12265.205383300781,0.0,3731.2356293465837,22912.979125976562,13570.070266723633,49.82948303222656,4582.5958251953125,4905.909472460066,18135.07080078125,12647.151947021484,0.0,4533.7677001953125,5162.668908376388,0,0,0,0,1,0,0,0,0,0,0,0.8333333333333334,70.72727272727273,65535,506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.33333333333333,78.4,0,6,5,386,392
192.168.0.102,142.250.193.10,49180,443,f0:a6:54:29:63:45,c4:71:54:49:11:3d,17,2025-07-15 00:14:42,412832.02171325684,44916.5738719743,75.09107426151127,33.91209805358573,41.17897620792553,14,17,9066,9477,1292.0,71.0,647.5714285714286,578.5338259385547,1292.0,66.0,557.4705882352941,540.1761278832563,1292,66,598.1612903225806,559.6248799361018,313180.00624349643,112,136,8,14,13761.067390441895,208835.84022521973,0.0,38128.750287384886,382611.0363006592,208835.84022521973,84.87701416015625,29431.61817697378,56378.202990795806,406945.94383239746,243249.17793273926,0.0,25434.12148952484,58036.58313664392,0,0,0,0,1,0,0,0,0,0,0,1.2142857142857142,598.1612903225806,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016.0,4.0,1999.5,4.5,2978413.830221909,26166960.524180967,647.5714285714286,557.4705882352941,0,14,17,9066,9477
192.168.0.102,142.250.193.106,63757,443,f0:a6:54:29:63:45,c4:71:54:49:11:3d,17,2025-07-15 00:14:42,2450356.0066223145,168.95504117814986,2.448623785190578,1.224311892595289,1.224311892595289,3,3,213,201,71.0,71.0,71.0,0.0,67.0,67.0,67.0,0.0,71,67,69.0,2.0,4.0,24,24,8,3,490071.2013244629,1603287.935256958,6289.005279541016,635149.2515306217,2444067.0013427734,1623104.8107147217,820962.1906280518,1222033.5006713867,401071.31004333496,2433554.8877716064,1609576.940536499,823977.9472351074,1216777.4438858032,392799.4966506958,0,0,0,0,1,0,0,0,0,0,0,1.0,69.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,67.0,0,3,3,213,201
192.168.0.102,142.250.76.78,56104,443,f0:a6:54:29:63:45,c4:71:54:49:11:3d,17,2025-07-15 00:14:42,4437381.029129028,585.029769352384,5.859312019708007,2.9296560098540034,2.9296560098540034,13,13,1483,1113,617.0,71.0,114.07692307692308,145.2077882730397,291.0,68.0,85.61538461538461,59.31083499605273,617,68,99.84615384615384,111.82152411069109,12504.053254437868,104,104,8,13,177495.24116516113,1610790.0142669678,1490.1161193847656,342709.2905147562,4417389.869689941,1617182.0163726807,7668.018341064453,368115.8224741618,424211.27473525354,4431688.070297241,1630781.1737060547,7711.172103881836,369307.33919143677,427639.3446914201,0,0,0,0,1,0,0,0,0,0,0,1.0,99.84615384615384,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.07692307692308,85.61538461538461,0,13,13,1483,1113
52.86.39.47,192.168.0.102,443,58647,c4:71:54:49:11:3d,f0:a6:54:29:63:45,6,2025-07-15 00:14:42,0.0,0,0,0,0,1,0,66,0,66.0,66.0,66.0,0.0,0.0,0.0,0.0,0.0,66,66,66.0,0.0,0.0,20,0,20,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,66.0,26883,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0,1,0,66,0
192.168.0.102,172.64.149.246,58592,443,f0:a6:54:29:63:45,c4:71:54:49:11:3d,6,2025-07-15 00:14:42,9068.012237548828,13343.607929747068,220.55550297102593,110.27775148551297,110.27775148551297,1,1,55,66,55.0,55.0,55.0,0.0,66.0,66.0,66.0,0.0,66,55,60.5,5.5,30.25,20,20,20,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,60.5,250,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,66.0,0,1,1,55,66
