src_ip,dst_ip,src_port,dst_port,src_mac,dst_mac,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
104.26.12.13,192.168.0.103,443,61252,c4:71:54:49:11:3d,f0:a6:54:29:63:45,6,2025-07-10 23:24:53,6983.041763305664,324070.8099286422,1002.4284885110452,572.8162791491686,429.61220936187647,4,3,2101,162,1494.0,54.0,525.25,583.2552507264722,54.0,54.0,54.0,0.0,1494,54,323.2857142857143,498.7769940523704,248778.4897959184,80,60,20,3,1163.8402938842771,4943.84765625,0.0,1798.4993313479647,6927.967071533203,6693.840026855469,0.0,2309.3223571777344,3101.795207623008,6875.991821289063,4998.922348022461,1877.0694732666016,3437.9959106445312,1560.9264373779297,0,0,0,0,1,0,0,0,0,0,0,0.75,323.2857142857143,19,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,525.25,54.0,0,4,3,2101,162
52.70.225.96,192.168.0.103,443,60064,c4:71:54:49:11:3d,f0:a6:54:29:63:45,6,2025-07-10 23:24:53,57.93571472167969,2606337.053497942,34521.02057613169,17260.510288065845,17260.510288065845,1,1,85,66,85.0,85.0,85.0,0.0,66.0,66.0,66.0,0.0,85,66,75.5,9.5,90.25,20,20,20,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,75.5,771,254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,66.0,0,1,1,85,66
192.168.0.103,103.21.187.19,59249,53,f0:a6:54:29:63:45,c4:71:54:49:11:3d,17,2025-07-10 23:24:54,48698.18687438965,4271.206247093094,41.0692908374336,20.5346454187168,20.5346454187168,1,1,79,129,79.0,79.0,79.0,0.0,129.0,129.0,129.0,0.0,129,79,104.0,25.0,625.0,8,8,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,104.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,129.0,0,1,1,79,129
192.168.0.103,103.21.187.19,56165,53,f0:a6:54:29:63:45,c4:71:54:49:11:3d,17,2025-07-10 23:24:54,48287.15324401856,5011.684966745832,41.41888402269282,20.70944201134641,20.70944201134641,1,1,79,163,79.0,79.0,79.0,0.0,163.0,163.0,163.0,0.0,163,79,121.0,42.0,1764.0,8,8,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,121.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,163.0,0,1,1,79,163
192.168.0.103,142.250.194.174,62108,443,f0:a6:54:29:63:45,c4:71:54:49:11:3d,17,2025-07-10 23:24:54,1268360.1379394531,10754.831843076396,26.8062665980938,11.826294087394322,14.979972510699474,15,19,6725,6916,1292.0,71.0,448.3333333333333,533.1709752873734,1292.0,66.0,364.0,464.4993909689509,1292,66,401.2058823529412,497.7336743215524,247738.81055363323,120,152,8,15,38435.15569513494,215156.79359436035,0.0,72584.64630988605,1266851.186752319,242357.0156097412,98.94371032714844,90489.37048230851,106857.98687321048,1250909.0900421145,246432.06596374512,0.0,69494.94944678413,101972.3867044864,0,0,0,0,1,0,0,0,0,0,0,1.2666666666666666,401.2058823529412,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2048.0,4.0,3798.0,6.0,2790751.9792072773,165043.1681723995,448.3333333333333,364.0,0,15,19,6725,6916
192.168.0.103,104.26.12.13,61253,443,f0:a6:54:29:63:45,c4:71:54:49:11:3d,6,2025-07-10 23:24:54,234330.8925628662,119574.50293278256,179.23373030609804,106.68674422982026,72.54698607627778,25,17,22347,5673,1454.0,54.0,893.88,644.9540957308512,1494.0,54.0,333.7058823529412,538.3363003906936,1494,54,667.1428571428571,663.7044871465789,440503.6462585034,500,340,20,18,5715.387623484542,172365.90385437012,0.0,26573.487378316087,234330.8925628662,179221.86851501465,0.0,9763.787190119425,35624.40740995321,230416.05949401853,172365.90385437012,0.0,14401.00371837616,41273.71485262958,0,0,0,0,1,0,0,0,0,0,0,0.68,667.1428571428571,65535,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20468.0,17.0,1909.0,4.0,2114455.660500973,7366077.586016559,893.88,333.7058823529412,0,25,17,22347,5673
142.250.82.252,192.168.0.103,19305,60374,c4:71:54:49:11:3d,f0:a6:54:29:63:45,6,2025-07-10 23:24:55,1752483.1295013428,74688.3081477902,251.64293600103505,169.4738140415134,82.16912195952165,297,144,120470,10420,1466.0,54.0,405.6228956228956,460.10148113628577,241.0,54.0,72.36111111111111,35.29254940082789,1466,54,296.80272108843536,409.1448352703762,167399.49622842332,5940,2880,20,273,3982.916203412143,179600.95405578613,0.0,10488.70448452127,1752483.1295013428,291512.01248168945,0.0,5920.551113180212,18089.34537104782,1720036.0298156738,179600.95405578613,77.00920104980469,12028.223984724991,17401.943472452782,0,0,0,0,1,0,0,0,0,0,0,0.4848484848484848,296.80272108843536,1138,512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4261.541666666667,10.958333333333334,0.0,0.0,113474.1437234091,0.0,405.6228956228956,72.36111111111111,0,297,144,120470,10420
192.168.0.103,52.70.225.96,60064,443,f0:a6:54:29:63:45,c4:71:54:49:11:3d,6,2025-07-10 23:24:56,263303.9951324463,5073.983018480102,26.58524036628796,11.39367444269484,15.19156592359312,3,4,826,510,687.0,54.0,275.3333333333333,291.3672749107025,317.0,54.0,127.5,110.13741416975432,687,54,190.8571428571429,220.6065849110639,48667.26530612244,60,80,20,2,43883.99918874105,239825.96397399905,0.0,88029.29808038824,263303.9951324463,263006.92558288574,297.0695495605469,131651.99756622314,131354.9280166626,23090.839385986328,23090.839385986328,0.0,7696.946461995442,10885.126075413566,0,0,0,0,1,0,0,0,0,0,0,1.3333333333333333,190.8571428571429,254,771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275.3333333333333,127.5,0,3,4,826,510
172.67.6.3,192.168.0.103,443,58679,c4:71:54:49:11:3d,f0:a6:54:29:63:45,6,2025-07-10 23:24:56,40800.09460449219,3308.8158571361787,49.01949417979524,24.50974708989762,24.50974708989762,1,1,81,54,81.0,81.0,81.0,0.0,54.0,54.0,54.0,0.0,81,54,67.5,13.5,182.25,20,20,20,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,67.5,18,251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,54.0,0,1,1,81,54
52.70.225.96,192.168.0.103,443,60087,c4:71:54:49:11:3d,f0:a6:54:29:63:45,6,2025-07-10 23:24:56,1599785.089492798,931.375101434653,11.251511292499163,6.875923567638377,4.375587724860786,11,7,1112,378,114.0,95.0,101.0909090909091,5.791130294048359,54.0,54.0,54.0,0.0,114,54,82.77777777777777,23.39884981873054,547.5061728395062,220,140,20,11,94105.00526428224,320667.028427124,0.0,119455.7731910354,1555295.9442138672,359781.9805145264,0.0,155529.59442138672,139122.7138520715,1599702.1198272705,373261.9285583496,173370.1229095459,266617.01997121173,65928.85545994095,0,0,0,0,1,0,0,0,0,0,0,0.6363636363636364,82.77777777777777,4881,251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,518.0,11.0,0.0,0.0,333.0555846474774,0.0,101.0909090909091,54.0,0,11,7,1112,378
